Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
27811,32.0,4.1,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,33,7.490186773189267
43475,32.0,4.9,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,1.55449948948158
11902,23.0,4.5,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,22,11.007734763545226
36731,22.0,4.5,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25,4.4684124408860795
18188,29.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20.206901465516598
28498,36.0,4.7,Fog,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,27,19.041992897401194
4740,20.0,3.6,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,48,1.5545437308249503
6868,34.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,27,6.210416158327092
43338,27.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,24,16.38489468674857
35602,35.0,4.7,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,18,10.705468478335929
41006,24.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,39,12.100287597780959
13443,32.0,4.9,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,26,1.5582406274341698
18469,31.0,4.5,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,26,10.709003371340927
30619,35.0,4.8,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,6.119692285902442
3707,24.0,4.9,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,19,19.658752171967787
2624,31.0,4.7,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,19,4.405707968418773
36094,35.0,4.4,Sandstorms,Medium,1,Buffet,scooter,0.0,No,Metropolitian,33,16.722118691784704
3375,33.0,4.7,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,39,10.707006464577402
43958,24.0,4.9,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Urban,10,1.5525820789286526
19185,33.0,4.8,Cloudy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,37,13.830084721902905
27275,34.0,5.0,Stormy,High,0,Buffet,motorcycle,2.0,No,Metropolitian,37,1.4981517817367491
43150,27.0,4.7,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,12.292599798304026
